dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate
unsw-nb15,DNN,SHAP,0.5623327924624283,0.8806415584415584,0.5908921096428054,58.58542323112488,1.0,1.0
unsw-nb15,DNN,LIME,0.23054694313768487,0.8722883116883117,0.48075922376173913,36.534597063064574,1.0,1.0
unsw-nb15,DNN,IG,0.5791412473116223,0.8784753246753246,0.5332754980535062,0.7093719959259034,1.0,1.0
unsw-nb15,DNN,DeepLIFT,0.33528135334252585,0.9220233766233766,0.38300591945046936,0.02905516624450684,1.0,1.0
unsw-nb15,RF,SHAP,0.831473130743921,0.7555688311688312,0.7269489817833839,16.89724645614624,1.0,1.0
unsw-nb15,RF,LIME,0.7522602859924609,0.8764831168831169,0.4601706236196978,54.4339234828949,1.0,1.0
unsw-nb15,XGB,SHAP,0.45534260945525384,0.9124883116883117,0.6084906950190895,0.1206162452697754,1.0,1.0
unsw-nb15,XGB,LIME,0.21112751742127878,0.8737896103896103,0.49186060914293706,103.86739654541016,1.0,1.0
