dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate,robustness_mean_deviation,robustness_rank_correlation_mean
cic-iov-2024,DNN,SHAP,0.10866323209431134,0.39787011173184356,0.74043075243632,7.916091207685418,1.0,1.0,0.046377360820770264,0.856095238095238
cic-iov-2024,DNN,LIME,-0.11085086156000208,0.2428421787709497,0.8116527599380804,23.33277230822174,1.0,1.0,0.36012986704239447,0.43742857142857144
cic-iov-2024,DNN,IG,-0.11869460302705136,0.6513617318435754,0.44684747854868573,0.678596549859926,1.0,1.0,0.1381126195192337,0.4804761904761905
cic-iov-2024,DNN,DeepLIFT,0.03477668505518032,0.6941340782122905,0.38435598214467365,0.02843108257101901,nan,1.0,5.945906162261963,0.5374285714285715
cic-iov-2024,RF,SHAP,0.8419824144746134,0.21281424581005587,0.8157416184743246,0.14176481928905293,1.0,1.0,1.0761064291000366,0.28661904761904766
cic-iov-2024,RF,LIME,0.833464648107339,0.33170391061452514,0.7718029097919734,67.22346131362063,1.0,1.0,0.877866944286486,0.31
cic-iov-2024,XGB,LIME,0.41549896569918515,0.20460893854748605,0.8313981436062079,27.26962712889943,1.0,1.0,0.9433710740216773,0.2771904761904762
cic-iov-2024,CNN-LSTM,SHAP,0.04849136507835326,0.39856843575418993,0.7138016223907471,105.97575043832789,1.0,1.0,0.20050643384456635,0.6818095238095239
cic-iov-2024,CNN-LSTM,LIME,-0.04717890208874061,0.10405027932960893,0.8762298869257429,35.564587102921976,1.0,1.0,0.38442082490769974,0.30876190476190474
cic-iov-2024,CNN-LSTM,IG,0.044431757886168634,0.6328561452513967,0.44511878490448,2.5764770347978816,1.0,1.0,0.07267270237207413,0.5112857142857143
cic-iov-2024,CNN-LSTM,DeepLIFT,0.6985312406615152,0.6019553072625698,0.49852697054545086,0.12631689370011484,1.0,1.0,0.9482008218765259,0.5206190476190478
cic-iov-2024,CNN-GRU,SHAP,0.18352345214648894,0.4661312849162011,0.6874251365661621,210.59140779452616,1.0,1.0,0.20897088944911957,0.5785238095238097
cic-iov-2024,CNN-GRU,LIME,0.11414698491507225,0.20373603351955308,0.8406315686988862,50.32311737870371,1.0,1.0,0.4465141680711274,0.27704761904761904
cic-iov-2024,CNN-GRU,IG,0.0883144658496168,0.6176675977653632,0.48537298043568927,3.3050282707427465,1.0,1.0,0.12782885134220123,0.5343809523809524
cic-iov-2024,CNN-GRU,DeepLIFT,0.5111775917190013,0.6269203910614525,0.49301981925964355,0.11813807087903583,1.0,1.0,9.993644714355469,0.5342380952380953
