dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate
nsl-kdd,DNN,SHAP,0.5478493989500403,0.9044098360655738,0.5790059778855322,30.634209537506106,1.0,1.0
nsl-kdd,DNN,LIME,0.1990387169938073,0.7108098360655738,0.8610111167321515,603.3489702224731,0.5188131313131313,1.0
nsl-kdd,RF,SHAP,0.5645044797542024,0.8825131147540983,0.5736122502007688,412.092408323288,1.0,1.0
nsl-kdd,RF,LIME,0.6626936988937985,0.8090295081967213,0.8063917943753521,63.425115299224856,0.7411366411366411,1.0
nsl-kdd,XGB,SHAP,0.5379215432073388,0.9207508196721311,0.5112739573402882,401.5884866237641,1.0,1.0
nsl-kdd,XGB,LIME,0.3806580369002376,0.8391672131147541,0.8137142603996377,63.42862181663512,0.6229881229881229,1.0
nsl-kdd,DNN,IG,0.3821212254904559,0.944032786885246,0.3582766213393488,59.049333524703975,1.0,1.0
nsl-kdd,DNN,DeepLIFT,0.2909743340893058,0.9383786885245902,0.4105699445621486,4.005365943908691,1.0,1.0
