dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate
cic-ids-2017,DNN,SHAP,0.7155425875436352,0.8340948717948717,0.6761862047116032,99.64398398399354,1.0,1.0
cic-ids-2017,RF,SHAP,0.908859475800945,0.6378897435897436,0.8041010211343539,234.5026882648468,1.0,1.0
cic-ids-2017,XGB,SHAP,0.8334041739847267,0.7677871794871794,0.7380579086757195,2917.9380063056947,1.0,1.0
cic-ids-2017,DNN,IG,0.36576482773051555,0.8164692307692307,0.6004097578090185,59.953162813186644,1.0,1.0
cic-ids-2017,DNN,DeepLIFT,0.6831624218505602,0.8589717948717949,0.5554573984576469,5.18824577331543,1.0,1.0
