dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate
nsl-kdd,DNN,SHAP,0.5605179951162474,0.895127868852459,0.6220035353690607,28.50135025978088,1.0,1.0
nsl-kdd,DNN,LIME,-0.04671095993058619,0.9204655737704918,0.4549063199170487,158.03785815238953,0.16565044146313496,1.0
nsl-kdd,DNN,IG,0.40458738745443745,0.943127868852459,0.396151214301939,0.7204128265380859,1.0,1.0
nsl-kdd,DNN,DeepLIFT,0.32955217605108206,0.9400885245901639,0.4040495289420876,0.029681921005249023,1.0,1.0
nsl-kdd,RF,SHAP,0.7173406017077769,0.8556180327868852,0.6648745473872898,8.59127688407898,1.0,1.0
nsl-kdd,RF,LIME,0.18214117422360962,0.9211950819672131,0.45661541216463064,207.12450337409973,0.23215022851245762,1.0
nsl-kdd,XGB,SHAP,0.34772321960789965,0.9333327868852459,0.5439274527888617,0.036194467544555665,1.0,1.0
nsl-kdd,XGB,LIME,0.1406599326812072,0.9225393442622951,0.4466880831066801,144.18799839019775,0.1531117417727325,1.0
