dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate,robustness_mean_deviation,robustness_rank_correlation_mean
nsl-kdd,DNN,SHAP,0.4802988829629908,0.8923631147540984,0.6317927244427922,31.57052149772644,1.0,1.0,0.2478839010000229,0.2358283265206314
nsl-kdd,DNN,LIME,-0.04749497817925739,0.9197229508196721,0.45502706961855965,176.76970000267028,0.22290399515631715,1.0,1.321425503123342,0.7913764213322936
nsl-kdd,DNN,IG,0.3617037075086733,0.9425852459016394,0.3975144588473654,0.799893569946289,1.0,1.0,0.44378426671028137,0.10015484715204827
nsl-kdd,DNN,DeepLIFT,0.3062250373593799,0.9398327868852459,0.4051507817527247,0.03091146945953369,1.0,1.0,1081903.125,0.1031749944650239
nsl-kdd,RF,SHAP,0.7193220551615398,0.8551622950819672,0.6652990455500132,8.733112406730653,1.0,1.0,0.6369980573654175,0.2352842928944125
nsl-kdd,RF,LIME,0.2664692496887885,0.9203155737704918,0.45994843991408385,238.69121496677397,0.30818370083075963,1.0,1.2662176334286277,0.737168603632927
nsl-kdd,XGB,LIME,0.17105345227888707,0.9251213114754099,0.4370790455200137,183.76723868846892,0.2202028764722263,1.0,1.3253615364993543,0.6933562574970012
nsl-kdd,CNN-LSTM,SHAP,0.5032402087727244,0.9003983606557378,0.6115381076500445,286.6237067699432,0.7320401820401822,1.0,0.26227104663848877,0.20147303723138846
nsl-kdd,CNN-LSTM,LIME,0.04053215308961132,0.9208081967213114,0.4569650620789395,184.95761268138887,0.26259521352400605,1.0,1.3056606331936587,0.760169717237072
nsl-kdd,CNN-LSTM,IG,0.3857324738770519,0.9393245901639344,0.4060285022245144,2.5887083768844605,1.0,1.0,0.2260587364435196,0.10984230440055381
nsl-kdd,CNN-LSTM,DeepLIFT,0.4499220817364923,0.9393950819672131,0.40534156512472336,0.10534279346466065,1.0,1.0,211.3308563232422,0.10507541776677758
nsl-kdd,CNN-GRU,SHAP,0.22927406832949465,0.8819483606557377,0.6366908965978851,719.6652886629105,0.6706793206793206,1.0,0.6279895305633545,0.10092076888252963
nsl-kdd,CNN-GRU,LIME,0.30026454814889036,0.9192327868852459,0.4613839408101319,187.45945699214937,0.269396861308626,1.0,1.3077565646643834,0.7929571179792546
nsl-kdd,CNN-GRU,IG,0.20528255834663353,0.9435303278688525,0.3906357310017837,3.6598615884780883,1.0,1.0,0.6869291067123413,0.09094603480921681
nsl-kdd,CNN-GRU,DeepLIFT,0.22973236370518837,0.9322,0.42225042087156606,0.12285630702972412,1.0,1.0,1499942.625,0.08129299685084644
