dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate,robustness_mean_deviation,robustness_rank_correlation_mean
cic-ids-2017,DNN,SHAP,0.642304186258026,0.7876628205128205,0.703353829572272,74.89694046974182,1.0,1.0,0.26130691170692444,0.14387845066326077
cic-ids-2017,DNN,LIME,0.36223847338102033,0.8793205128205128,0.4909871685451526,205.50434563159942,0.40657520583991175,1.0,3.961148871569973,0.7641353077302443
cic-ids-2017,DNN,IG,0.4421811544328955,0.863175641025641,0.5629010443309642,0.7594874620437622,1.0,1.0,41496.4296875,0.05002298966855928
cic-ids-2017,DNN,DeepLIFT,0.2684072452272814,0.87405,0.4638964499613555,0.030631613731384275,nan,1.0,7346600.5,0.1540969410336499
cic-ids-2017,RF,SHAP,0.8136383403260005,0.635098717948718,0.7967149222939349,5.195270609855652,1.0,1.0,1.886863350868225,0.10410890375447338
cic-ids-2017,RF,LIME,0.2913061715464378,0.8738397435897436,0.49538251846975795,273.5548321723938,0.611105561105561,1.0,1.6756701822040667,0.7332762427445971
cic-ids-2017,XGB,LIME,0.36373146573129755,0.8751769230769231,0.4784223680596012,206.94064774513242,0.5496003996003995,1.0,15.224176723654251,0.7317379835354518
cic-ids-2017,CNN-LSTM,SHAP,0.6722438203980761,0.8294961538461538,0.6789297221639965,814.6767072200776,0.6011932511932512,1.0,0.9915210008621216,0.0519228619481784
cic-ids-2017,CNN-LSTM,LIME,0.3097435053352999,0.8825858974358974,0.47235944337305424,214.6978403568268,0.42834428643252176,1.0,2.493066729785509,0.7684637387928527
cic-ids-2017,CNN-LSTM,IG,0.4911739318840163,0.8723166666666666,0.534096688390986,2.4607336044311525,1.0,1.0,22123.23828125,0.05811788211788211
cic-ids-2017,CNN-LSTM,DeepLIFT,0.4346405251660127,0.8808474358974359,0.5391825500646986,0.12024893760681152,1.0,1.0,30314972.0,0.041328848366823046
cic-ids-2017,CNN-GRU,SHAP,0.7249728803901836,0.8183692307692307,0.6871394449653878,1748.965189385414,0.6698135198135198,1.0,0.8659550547599792,0.06617701286055716
cic-ids-2017,CNN-GRU,LIME,0.43695674192563816,0.8811217948717949,0.4805121609530412,221.8205264568329,0.43058787617611155,1.0,2.599593329889815,0.7758063202620163
cic-ids-2017,CNN-GRU,IG,0.5402888257956848,0.8766089743589743,0.5167950935982999,3.806916785240173,1.0,1.0,1.0299681425094604,0.06400854841361169
cic-ids-2017,CNN-GRU,DeepLIFT,0.1710479061575514,0.881524358974359,0.5307669696930627,0.5978890180587769,1.0,1.0,5519947.5,0.047190530987999336
