dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate,robustness_mean_deviation,robustness_rank_correlation_mean
unsw-nb15,DNN,SHAP,0.3308089378279835,0.9060355263157894,0.5419673586429857,47.78169775009155,1.0,1.0,0.5289984941482544,0.1675781818181818
unsw-nb15,DNN,LIME,0.15150348550858073,0.9017907894736842,0.4392136819663302,186.07800357341767,0.5428932178932179,1.0,2.103560980648973,0.8171586056049214
unsw-nb15,DNN,IG,0.4251719795160329,0.9060513157894737,0.4868059397937398,0.8206966161727905,1.0,1.0,0.5786381959915161,0.09972822966507178
unsw-nb15,DNN,DeepLIFT,0.43855586543840125,0.9519552631578947,0.2135428142746561,0.03051021099090576,nan,1.0,1584045.25,0.7046009569377991
unsw-nb15,RF,SHAP,0.7845313997215548,0.7406421052631579,0.7355293919076116,7.493355560302734,1.0,1.0,1.2574633359909058,0.2845059193438141
unsw-nb15,RF,LIME,0.7136225395679683,0.8770802631578948,0.4652447846687744,253.0670006275177,0.6232378732378733,1.0,1.7791920227351192,0.7715399043062201
unsw-nb15,XGB,LIME,0.4839104482939063,0.8705065789473684,0.490054139500898,185.92247931957246,0.50746891996892,1.0,3.8045015806268916,0.7166841285030758
unsw-nb15,CNN-LSTM,SHAP,0.6519088012972899,0.8729289473684211,0.5560156724291274,549.6359716415406,0.7810800310800312,1.0,0.41814398765563965,0.07987926179084075
unsw-nb15,CNN-LSTM,LIME,0.3575962713837997,0.9375065789473684,0.3945989545632989,194.53403203487397,0.49972417932944246,1.0,1.5415968338140003,0.8074499521531101
unsw-nb15,CNN-LSTM,IG,0.6258562136045643,0.9126394736842105,0.44988917251628163,2.376089930534363,1.0,1.0,0.3670714497566223,0.12733954887218044
unsw-nb15,CNN-LSTM,DeepLIFT,0.681568731142595,0.9066,0.4603587620685441,0.12023067474365234,1.0,1.0,35747.5859375,0.09574293916609708
unsw-nb15,CNN-GRU,SHAP,0.4416582250792743,0.8722381578947368,0.5758526870470488,1183.6693266868592,0.6804917304917305,1.0,0.4911210834980011,0.045543513328776486
unsw-nb15,CNN-GRU,LIME,0.14283140497196462,0.9201144736842105,0.41773818623424036,200.23640284538268,0.5359640359640359,1.0,1.4513033937569666,0.8243366780587833
unsw-nb15,CNN-GRU,IG,0.5250921572618407,0.8832644736842106,0.4986234799856443,4.238385701179504,1.0,1.0,0.46271076798439026,0.13252483937115514
unsw-nb15,CNN-GRU,DeepLIFT,0.5881089522278844,0.9538671052631579,0.2209570770274558,0.819006872177124,nan,1.0,178016.140625,0.6587797129186601
